Metric,Unit,x,y,POP.2020.SSP1,POP.2030.SSP1,POP.2040.SSP1,POP.2050.SSP1,POP.2060.SSP1,POP.2070.SSP1,POP.2080.SSP1,POP.2090.SSP1,POP.2100.SSP1,POP.2020.SSP2,POP.2030.SSP2,POP.2040.SSP2,POP.2050.SSP2,POP.2060.SSP2,POP.2070.SSP2,POP.2080.SSP2,POP.2090.SSP2,POP.2100.SSP2,POP.2020.SSP3,POP.2030.SSP3,POP.2040.SSP3,POP.2050.SSP3,POP.2060.SSP3,POP.2070.SSP3,POP.2080.SSP3,POP.2090.SSP3,POP.2100.SSP3,POP.2020.SSP4,POP.2030.SSP4,POP.2040.SSP4,POP.2050.SSP4,POP.2060.SSP4,POP.2070.SSP4,POP.2080.SSP4,POP.2090.SSP4,POP.2100.SSP4,POP.2020.SSP5,POP.2030.SSP5,POP.2040.SSP5,POP.2050.SSP5,POP.2060.SSP5,POP.2070.SSP5,POP.2080.SSP5,POP.2090.SSP5,POP.2100.SSP5
Population,headcount,238500,690500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Population,headcount,238500,689500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Population,headcount,239500,689500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Population,headcount,240500,689500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Population,headcount,242500,689500,4.8732309339999995,4.807851791,4.751303196,4.816306114,4.937952042,5.046622276,5.047847748,5.031688213,4.943693638,4.8732309339999995,4.768649578,4.707211971,4.774308681,4.892664433,4.999194622,5.037142754,5.082064152,5.082803726,4.8732309339999995,4.481583595,4.285776138,4.105391026,4.029652119,3.869894505,3.6658265589999997,3.833579779,3.559226036,4.8732309339999995,4.628232002,4.527534962,4.475482941,4.4470396039999995,4.38323307,4.218122482,4.105924606,3.829427958,4.8732309339999995,5.128429413,5.756023884,6.135237217,6.640620707999999,7.322456837000001,7.767721653,8.149621964,8.498514175
Population,headcount,238500,688500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Population,headcount,239500,688500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Population,headcount,240500,688500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Population,headcount,241500,688500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Population,headcount,242500,688500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
